respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.10763050839563092,0.17880049066312562
26708,0.04424817710599579,0.02598758299695685
26709,0.42095760895546563,0.7936575824864632
26710,0.6567616222483569,0.8330357130326588
26711,0.19099132972968827,0.5805332658293899
26712,0.67586247819012,0.9465643602843813
26713,0.4057240231929125,0.6484832101612032
26714,0.11772004552338229,0.16368753541704453
26715,0.025946051552782182,0.09991684840955035
26716,0.16552259634673647,0.8724998343300902
26717,0.014396641166084252,0.4647996949722099
26718,0.22587143344558938,0.5245236385877746
26719,0.0607800894062816,0.9383375244829062
26720,0.056459713314469064,0.32232700775984074
26721,0.4982970801641606,0.33832596520682595
26722,0.028504233324803854,0.08404385680791888
26723,0.6118663939684715,0.8985590682703254
26724,0.12376006857643339,0.7785671480226518
26725,0.04757290946032511,0.045873355256844904
26726,0.028476508925096757,0.027219418516706246
26727,0.2530208183641638,0.8622696484594533
26728,0.1575363434907062,0.6007655876496761
26729,0.43764413227818083,0.674769837614945
26730,0.06903367208083032,0.24764699365084805
26731,0.024637698981062005,0.30846987283320587
26732,0.0737201534028034,0.08560289357438998
26733,0.9024253742756337,0.9673271168288621
26734,0.820102619142402,0.2872556454294331
26735,0.1071337629546746,0.41972907765815437
26736,0.08976009644543421,0.12376127384452074
26737,0.06124678776170938,0.12396335965561277
26738,0.673920835755294,0.9164583745626228
26739,0.08079377184184604,0.2010299909255738
26740,0.11065414979578862,0.07410801579009436
26741,0.13636687472091483,0.9217872038700383
26742,0.10659648188091024,0.4279840200932064
26743,0.04319371944863823,0.5673014618851318
26744,0.07465439138656564,0.7660621819790933
26745,0.13526745175024754,0.8892455182638909
26746,0.17466329216419899,0.3479486669432476
26747,0.08623883242343593,0.16104373066827762
26748,0.09922215502524336,0.06026309021245938
26749,0.06881025820346963,0.6721863342973268
26750,0.711232265538056,0.9233016210622091
26751,0.39142100345265374,0.6958363464501831
26752,0.03221557028405069,0.09398963999029221
26753,0.17318014107928384,0.595118140819534
26754,0.15469329809480628,0.5833971514524102
26755,0.10426987163604538,0.40113860293206116
26756,0.009578508609535826,0.018262053813393343
26757,0.4801971686999959,0.6765702300534647
26758,0.7232954273852705,0.8763854621464423
26759,0.03849476758193138,0.2145686159362525
26760,0.01722412267049751,0.03752403766949073
26761,0.19853513769997813,0.6299822949215294
26762,0.1240627133970315,0.7941213543452834
26763,0.8306990084546323,0.9670430012312846
26764,0.9091487191706996,0.9851594171842873
26765,0.01901239424657185,0.698579367174823
26766,0.1324251543279278,0.15971415199716332
26767,0.8983367478622228,0.8121675417758857
26768,0.03873720134810338,0.5331801801700273
26769,0.13410649899728785,0.09787294613532199
26770,0.1542904398581789,0.6296184970314481
26771,0.031347371265970585,0.2653231145842545
26772,0.07571315613230341,0.41773811713456355
26773,0.00918847306045042,0.3684414524375102
26774,0.02714315410336644,0.4184036604430157
26775,0.06374095169950689,0.5907441472188489
26776,0.3840726207182175,0.3760309390023573
26777,0.06683865300987779,0.879421788528198
26778,0.04262493191058014,0.038475664437652095
26779,0.1212435284804374,0.4926026062968014
26780,0.14548416074619674,0.956735542439752
26781,0.08675324301464434,0.41073001976211493
26782,0.05313339382187829,0.28897572352242845
26783,0.051917026030935204,0.29434599200852857
26784,0.36588296089059585,0.9166674411481361
26785,0.2730302197689854,0.5867856422715599
26786,0.09639547679020903,0.2501947450041995
26787,0.09865066305677699,0.5624286907138346
26788,0.07664210663559917,0.9222717111164739
26789,0.00813443863834151,0.14850428763448661
26790,0.046093119824338925,0.2173572139235357
26791,0.07719716544140845,0.04848329655506683
26792,0.1197595072896342,0.7706675343298123
26793,0.13032187446905794,0.9271723248363797
26794,0.8657114778081098,0.8722529404837535
26795,0.0668435210950968,0.9662655866479906
26796,0.040048031080026726,0.0606025395475332
26797,0.11243066083840957,0.7968412548641163
26798,0.09720917738170143,0.0896901127589849
26799,0.3047268160676478,0.20758288341813422
26800,0.03176545101737945,0.9400225603411053
26801,0.1399373870361604,0.308769454962356
26802,0.048658373221309316,0.14648481881826259
26803,0.049311708306837364,0.1517666436231999
26804,0.033756800090485733,0.07230269986851745
26805,0.10357377753309387,0.09057023151590615
26806,0.054007371214581774,0.9118803242775901
26807,0.6662133261208508,0.8962672708960447
26808,0.2512052931783681,0.5477853567070171
26809,0.7748294982003229,0.16624187354942868
26810,0.038465501424750824,0.06320085226358224
26811,0.04295655747658128,0.044846668757084734
26812,0.1847180086359028,0.8213770133393575
26813,0.42903617913667014,0.3070900545422342
26814,0.025380140155537523,0.592290670154911
26815,0.02685488047402018,0.05985483440249084
26816,0.10389170954708782,0.21206291435629168
26817,0.1075388260972578,0.6246560387401314
26818,0.12127149079634301,0.3326184495494158
26819,0.35987292210714017,0.3663515971138794
26820,0.14909166732196313,0.19555187826287998
26821,0.09088255836021954,0.5754469900151078
26822,0.23370686895996842,0.7390972157172632
26823,0.33027032131222306,0.35405663115588987
26824,0.02726684490527263,0.7337980481236562
26825,0.5278892215280951,0.7517331893068498
26826,0.09426518279257234,0.7891744795202702
26827,0.0283857435861803,0.052557452429757144
26828,0.21721027957406122,0.636175058500171
26829,0.6617310779133561,0.9251380029500428
26830,0.06976595612395042,0.8318005918272365
26831,0.3251457983793575,0.9247184855569414
26832,0.09742901611105055,0.8286499717188671
